ProcurementPlanID,FinancialYear,Directorate,CostCentre,RegionCode,ProcurementDescription,ProcurementCategory,ProcurementMethod,PlannedProcurementDate,EstimatedCost,ApprovedBudget,ActualContractValue,SupplierCategory,TenderReference,ContractStartDate,ContractEndDate,ProcurementStatus,PercentageComplete,AmountPaid,OutstandingContractAmount,ResponsibleRole,DelayDays,RiskRating
PP-00310,FY2025/2026,DIR-12,CC-026,RG-04,Fuel and Lubricants - Infrastructure Project Unit 05,Printing and Stationery,Direct Procurement,2025-08-02,921000,999000,0,Equipment,,,,Awarded,0,0,0,Procurement Officer,0,Low
PP-00311,FY2025/2026,DIR-06,CC-006,RG-01,Printing and Stationery - Information and Communication Technology Directorate - HQ,Construction,Open Tender,2025-08-30,5496000,5871000,5849000,Fuel and Lubricants,TND-250986,2025-11-26,2026-11-18,Completed,96,5640000,209000,Procurement Officer,10,Low
PP-00312,FY2025/2026,DIR-11,CC-030,RG-07,Consultancy - Technical Service Unit 02,Consultancy,Request for Quotations,2026-03-11,1538000,1545000,1370000,Utilities,TND-359924,2026-05-26,2027-02-21,Contract Signed,38,518000,852000,Procurement Officer,0,Low
PP-00313,FY2025/2026,DIR-01,CC-001,RG-01,Consultancy - Office of the Chief Executive Officer - HQ,Travel and Accommodation,Framework Agreement,2026-02-18,3617000,3733000,0,Utilities,,,,Awarded,0,0,0,Procurement Officer,0,Low
PP-00314,FY2025/2026,DIR-12,CC-012,RG-01,Training - Projects and Infrastructure Directorate - HQ,Consultancy,Direct Procurement,2026-03-28,7817000,8368000,6884000,Consultancy,TND-746277,2026-05-25,2027-01-04,Contract Signed,83,5680000,1204000,Procurement Officer,0,Low
PP-00315,FY2025/2026,DIR-13,CC-015,RG-02,Maintenance - Regional Office - Central Region,ICT Services,Direct Procurement,2026-02-22,6941000,7478000,7230000,Travel and Accommodation,TND-135000,2026-04-16,2027-03-06,Awarded,70,5094000,2136000,Procurement Officer,0,Low
PP-00316,FY2025/2026,DIR-01,CC-001,RG-01,Printing and Stationery - Office of the Chief Executive Officer - HQ,Construction,Framework Agreement,2025-12-08,7577000,7279000,0,Utilities,,,,Awarded,0,0,0,Procurement Officer,0,Low
PP-00317,FY2025/2026,DIR-11,CC-011,RG-01,Printing and Stationery - Technical Operations Directorate - HQ,ICT Services,Restricted Tender,2025-07-01,1547000,1647000,1446000,ICT Services,TND-362020,2025-09-15,2026-02-17,Delayed,59,855000,591000,Procurement Officer,63,High
PP-00318,FY2025/2026,DIR-04,CC-004,RG-01,Travel and Accommodation - Human Resource and Administration Directorate - HQ,Fuel and Lubricants,Open Tender,2025-07-17,5850000,5921000,0,Security Services,,,,Completed,0,0,0,Procurement Officer,11,Low
PP-00319,FY2025/2026,DIR-12,CC-028,RG-02,Office Furniture - Infrastructure Project Unit 07,Cleaning Services,Direct Procurement,2025-12-29,3096000,3174000,3053000,Maintenance,TND-145107,2026-03-04,2026-08-21,Evaluation,61,1852000,1201000,Procurement Officer,0,Low
PP-00320,FY2025/2026,DIR-12,CC-025,RG-04,Professional Services - Infrastructure Project Unit 04,Medical Supplies,Restricted Tender,2025-09-06,4242000,4422000,3620000,Fuel and Lubricants,TND-161134,2025-11-16,2026-09-22,Evaluation,57,2079000,1541000,Procurement Officer,0,Low
PP-00321,FY2025/2026,DIR-13,CC-019,RG-06,Training - Regional Office - Nyanza Region,Professional Services,Request for Quotations,2025-09-17,4385000,4735000,0,Travel and Accommodation,,,,Planned,0,0,0,Procurement Officer,0,Low
PP-00322,FY2025/2026,DIR-13,CC-019,RG-06,Security Services - Regional Office - Nyanza Region,Cleaning Services,Direct Procurement,2025-08-20,2084000,2173000,0,Professional Services,,,,Cancelled,0,0,0,Procurement Officer,0,Low
PP-00323,FY2025/2026,DIR-08,CC-008,RG-01,Office Furniture - Internal Audit and Risk Directorate - HQ,Fuel and Lubricants,Request for Quotations,2026-01-16,1533000,1584000,1319000,Travel and Accommodation,TND-561766,2026-03-25,2027-03-11,Ongoing,77,1013000,306000,Procurement Officer,10,Low
PP-00324,FY2025/2026,DIR-12,CC-025,RG-04,Construction - Infrastructure Project Unit 04,Security Services,Restricted Tender,2025-08-27,5038000,4974000,0,Printing and Stationery,,,,Ongoing,0,0,0,Procurement Officer,4,Low
PP-00325,FY2025/2026,DIR-09,CC-009,RG-01,Medical Supplies - Corporate Communications and Customer Experience Directorate - HQ,Training,Framework Agreement,2025-07-09,5986000,6083000,6414000,Training,TND-466641,2025-09-12,2026-05-17,Awarded,23,1502000,4912000,Procurement Officer,0,Low
PP-00326,FY2025/2026,DIR-12,CC-023,RG-01,Fuel and Lubricants - Infrastructure Project Unit 02,Printing and Stationery,Open Tender,2026-02-04,6773000,6798000,5843000,Construction,TND-818647,2026-04-01,2027-03-26,Delayed,76,4443000,1400000,Procurement Officer,54,High
PP-00327,FY2025/2026,DIR-13,CC-017,RG-04,Consultancy - Regional Office - Eastern Region,Utilities,Framework Agreement,2026-03-03,4734000,5141000,5256000,Utilities,TND-157802,2026-04-16,2027-01-23,Evaluation,38,2008000,3248000,Procurement Officer,0,Low
PP-00328,FY2025/2026,DIR-13,CC-018,RG-05,Consultancy - Regional Office - North Eastern Region,Cleaning Services,Restricted Tender,2025-09-27,5594000,5605000,6167000,Professional Services,TND-713405,2025-12-12,2026-06-08,Cancelled,69,4235000,1932000,Procurement Officer,0,Low
PP-00329,FY2025/2026,DIR-12,CC-026,RG-04,Professional Services - Infrastructure Project Unit 05,Training,Framework Agreement,2026-01-04,1677000,1811000,1603000,Fuel and Lubricants,TND-485407,2026-03-30,2026-12-01,Ongoing,90,1440000,163000,Procurement Officer,82,High
PP-00330,FY2025/2026,DIR-04,CC-004,RG-01,Fuel and Lubricants - Human Resource and Administration Directorate - HQ,Maintenance,Direct Procurement,2025-11-04,7292000,7195000,7879000,Utilities,TND-639970,2026-01-29,2026-05-20,Cancelled,54,4287000,3592000,Procurement Officer,0,Low
PP-00331,FY2025/2026,DIR-12,CC-023,RG-01,Office Furniture - Infrastructure Project Unit 02,Professional Services,Framework Agreement,2025-07-13,6409000,6108000,5470000,Equipment,TND-737860,2025-08-14,2026-07-14,Advertised,37,2048000,3422000,Procurement Officer,0,Low
PP-00332,FY2025/2026,DIR-12,CC-012,RG-01,Security Services - Projects and Infrastructure Directorate - HQ,Professional Services,Restricted Tender,2025-10-28,5237000,5476000,4566000,Equipment,TND-704169,2025-12-24,2026-06-15,Planned,77,3535000,1031000,Procurement Officer,0,Low
PP-00333,FY2025/2026,DIR-04,CC-004,RG-01,Professional Services - Human Resource and Administration Directorate - HQ,Training,Low-Value Procurement,2025-08-14,3428000,3566000,0,Equipment,,,,Advertised,0,0,0,Procurement Officer,0,Low
PP-00334,FY2025/2026,DIR-11,CC-032,RG-01,Utilities - Technical Service Unit 04,Professional Services,Request for Quotations,2026-03-14,3378000,3601000,3158000,Security Services,TND-685204,2026-05-15,2026-12-20,Contract Signed,80,2524000,634000,Procurement Officer,0,Low
PP-00335,FY2025/2026,DIR-04,CC-004,RG-01,Travel and Accommodation - Human Resource and Administration Directorate - HQ,ICT Services,Open Tender,2025-07-01,1805000,1790000,0,Printing and Stationery,,,,Cancelled,0,0,0,Procurement Officer,0,Low
PP-00336,FY2025/2026,DIR-09,CC-009,RG-01,Office Furniture - Corporate Communications and Customer Experience Directorate - HQ,Construction,Restricted Tender,2026-03-11,6097000,6481000,5826000,Equipment,TND-730868,2026-04-27,2026-12-11,Delayed,45,2650000,3176000,Procurement Officer,77,High
PP-00337,FY2025/2026,DIR-12,CC-012,RG-01,Medical Supplies - Projects and Infrastructure Directorate - HQ,ICT Services,Low-Value Procurement,2025-11-06,351000,346000,357000,Travel and Accommodation,TND-719577,2025-12-21,2026-11-25,Awarded,92,330000,27000,Procurement Officer,0,Low
PP-00338,FY2025/2026,DIR-13,CC-016,RG-03,Training - Regional Office - Coast Region,Training,Open Tender,2025-12-30,7166000,7448000,0,Utilities,,,,Contract Signed,0,0,0,Procurement Officer,0,Low
PP-00339,FY2025/2026,DIR-12,CC-022,RG-02,Security Services - Infrastructure Project Unit 01,Travel and Accommodation,Direct Procurement,2025-12-05,2341000,2493000,2609000,Utilities,TND-578766,2026-02-12,2026-12-15,Completed,98,2562000,47000,Procurement Officer,29,Medium
PP-00340,FY2025/2026,DIR-03,CC-003,RG-01,"Equipment - Strategy, Planning and Performance Directorate - HQ",Construction,Request for Quotations,2026-02-06,7162000,7210000,7280000,Maintenance,TND-915069,2026-04-21,2027-04-20,Cancelled,81,5873000,1407000,Procurement Officer,0,Low
PP-00341,FY2025/2026,DIR-10,CC-010,RG-01,"Consultancy - Research, Monitoring and Evaluation Directorate - HQ",ICT Services,Open Tender,2025-12-11,1580000,1730000,1718000,Maintenance,TND-610782,2026-02-12,2027-01-05,Planned,91,1567000,151000,Procurement Officer,0,Low
PP-00342,FY2025/2026,DIR-06,CC-006,RG-01,Security Services - Information and Communication Technology Directorate - HQ,Utilities,Request for Quotations,2025-07-26,2974000,2999000,2538000,Maintenance,TND-857734,2025-09-18,2026-04-06,Awarded,36,926000,1612000,Procurement Officer,0,Low
PP-00343,FY2025/2026,DIR-12,CC-023,RG-01,Cleaning Services - Infrastructure Project Unit 02,Office Furniture,Direct Procurement,2026-01-27,285000,300000,317000,Professional Services,TND-962071,2026-03-20,2026-09-11,Contract Signed,68,217000,100000,Procurement Officer,0,Low
PP-00344,FY2025/2026,DIR-13,CC-017,RG-04,ICT Services - Regional Office - Eastern Region,Office Furniture,Open Tender,2025-12-07,7374000,7831000,0,Utilities,,,,Cancelled,0,0,0,Procurement Officer,0,Low
PP-00345,FY2025/2026,DIR-13,CC-020,RG-07,Maintenance - Regional Office - Rift Valley Region,Utilities,Open Tender,2026-03-15,6301000,6178000,0,Travel and Accommodation,,,,Planned,0,0,0,Procurement Officer,0,Low
PP-00346,FY2025/2026,DIR-12,CC-023,RG-01,Utilities - Infrastructure Project Unit 02,Professional Services,Low-Value Procurement,2025-09-20,1889000,2033000,1669000,Maintenance,TND-715156,2025-12-14,2026-03-17,Ongoing,44,734000,935000,Procurement Officer,98,Critical
PP-00347,FY2025/2026,DIR-13,CC-018,RG-05,Cleaning Services - Regional Office - North Eastern Region,Utilities,Open Tender,2025-07-27,1310000,1258000,1317000,ICT Services,TND-814567,2025-10-09,2026-04-20,Evaluation,57,756000,561000,Procurement Officer,0,Low
PP-00348,FY2025/2026,DIR-12,CC-028,RG-02,Utilities - Infrastructure Project Unit 07,ICT Services,Request for Quotations,2026-02-11,3785000,4087000,3397000,Utilities,TND-543312,2026-03-22,2026-11-20,Cancelled,41,1405000,1992000,Procurement Officer,0,Low
PP-00349,FY2025/2026,DIR-12,CC-026,RG-04,Maintenance - Infrastructure Project Unit 05,Utilities,Open Tender,2025-07-29,7248000,7426000,0,ICT Services,,,,Contract Signed,0,0,0,Procurement Officer,0,Low
PP-00350,FY2025/2026,DIR-12,CC-023,RG-01,Construction - Infrastructure Project Unit 02,Security Services,Low-Value Procurement,2026-02-22,2588000,2550000,2273000,Fuel and Lubricants,TND-649259,2026-03-29,2027-03-05,Contract Signed,78,1773000,500000,Procurement Officer,0,Low
PP-00351,FY2025/2026,DIR-11,CC-030,RG-07,Cleaning Services - Technical Service Unit 02,Utilities,Restricted Tender,2025-09-25,5373000,5521000,5435000,Maintenance,TND-595725,2025-12-11,2026-06-05,Contract Signed,43,2359000,3076000,Procurement Officer,0,Low
PP-00352,FY2025/2026,DIR-12,CC-027,RG-03,Printing and Stationery - Infrastructure Project Unit 06,Travel and Accommodation,Framework Agreement,2025-12-16,6046000,6544000,6015000,Maintenance,TND-780134,2026-03-03,2026-07-10,Ongoing,50,2979000,3036000,Procurement Officer,54,High
PP-00353,FY2025/2026,DIR-13,CC-016,RG-03,Professional Services - Regional Office - Coast Region,Security Services,Request for Quotations,2025-09-01,5362000,5839000,5693000,Fuel and Lubricants,TND-939880,2025-11-05,2026-09-17,Awarded,64,3662000,2031000,Procurement Officer,0,Low
PP-00354,FY2025/2026,DIR-11,CC-031,RG-01,Travel and Accommodation - Technical Service Unit 03,Printing and Stationery,Framework Agreement,2025-10-17,734000,763000,653000,Maintenance,TND-780715,2025-12-14,2026-12-09,Evaluation,59,384000,269000,Procurement Officer,0,Low
PP-00355,FY2025/2026,DIR-10,CC-010,RG-01,"Utilities - Research, Monitoring and Evaluation Directorate - HQ",Medical Supplies,Low-Value Procurement,2026-03-04,7495000,7746000,8213000,Travel and Accommodation,TND-586541,2026-05-13,2027-04-15,Evaluation,47,3875000,4338000,Procurement Officer,0,Low
PP-00356,FY2025/2026,DIR-06,CC-006,RG-01,Cleaning Services - Information and Communication Technology Directorate - HQ,Maintenance,Framework Agreement,2025-12-27,774000,830000,0,ICT Services,,,,Ongoing,0,0,0,Procurement Officer,84,High
PP-00357,FY2025/2026,DIR-08,CC-008,RG-01,Fuel and Lubricants - Internal Audit and Risk Directorate - HQ,Equipment,Request for Quotations,2025-12-14,4521000,4846000,0,Travel and Accommodation,,,,Delayed,0,0,0,Procurement Officer,29,Medium
PP-00358,FY2025/2026,DIR-05,CC-005,RG-01,Cleaning Services - Procurement and Supply Chain Directorate - HQ,Printing and Stationery,Low-Value Procurement,2026-01-31,1241000,1246000,1081000,Travel and Accommodation,TND-541685,2026-04-28,2026-12-25,Delayed,99,1067000,14000,Procurement Officer,59,High
PP-00359,FY2025/2026,DIR-11,CC-029,RG-02,Medical Supplies - Technical Service Unit 01,Utilities,Open Tender,2025-12-02,6267000,6095000,0,Equipment,,,,Delayed,0,0,0,Procurement Officer,14,Low
PP-00360,FY2025/2026,DIR-10,CC-010,RG-01,"Fuel and Lubricants - Research, Monitoring and Evaluation Directorate - HQ",Office Furniture,Framework Agreement,2025-11-01,1601000,1675000,0,Maintenance,,,,Awarded,0,0,0,Procurement Officer,0,Low
PP-00361,FY2025/2026,DIR-11,CC-031,RG-01,Fuel and Lubricants - Technical Service Unit 03,Utilities,Restricted Tender,2025-11-10,4579000,4931000,4830000,Printing and Stationery,TND-229018,2026-01-02,2026-11-20,Awarded,86,4146000,684000,Procurement Officer,0,Low
PP-00362,FY2025/2026,DIR-11,CC-031,RG-01,Training - Technical Service Unit 03,Medical Supplies,Low-Value Procurement,2026-02-09,7426000,7655000,7074000,Printing and Stationery,TND-810810,2026-04-04,2026-10-16,Contract Signed,71,5025000,2049000,Procurement Officer,0,Low
PP-00363,FY2025/2026,DIR-12,CC-023,RG-01,Maintenance - Infrastructure Project Unit 02,Travel and Accommodation,Restricted Tender,2025-08-04,6934000,7450000,7905000,Construction,TND-618464,2025-09-08,2025-12-19,Ongoing,29,2270000,5635000,Procurement Officer,81,High
PP-00364,FY2025/2026,DIR-03,CC-003,RG-01,"Training - Strategy, Planning and Performance Directorate - HQ",Printing and Stationery,Low-Value Procurement,2025-12-27,2479000,2546000,2592000,Travel and Accommodation,TND-426888,2026-03-20,2026-08-18,Awarded,88,2269000,323000,Procurement Officer,0,Low
PP-00365,FY2025/2026,DIR-01,CC-001,RG-01,Fuel and Lubricants - Office of the Chief Executive Officer - HQ,ICT Services,Direct Procurement,2025-11-08,6212000,6470000,6309000,Fuel and Lubricants,TND-294064,2025-12-27,2026-04-28,Contract Signed,60,3778000,2531000,Procurement Officer,0,Low
PP-00366,FY2025/2026,DIR-04,CC-004,RG-01,Security Services - Human Resource and Administration Directorate - HQ,ICT Services,Low-Value Procurement,2025-12-17,2697000,2749000,0,Training,,,,Completed,0,0,0,Procurement Officer,68,High
PP-00367,FY2025/2026,DIR-05,CC-005,RG-01,Training - Procurement and Supply Chain Directorate - HQ,Professional Services,Request for Quotations,2025-11-03,2143000,2347000,2189000,Equipment,TND-544325,2025-12-09,2026-11-09,Contract Signed,35,765000,1424000,Procurement Officer,0,Low
PP-00368,FY2025/2026,DIR-12,CC-028,RG-02,Training - Infrastructure Project Unit 07,Equipment,Request for Quotations,2026-03-27,218000,209000,0,Printing and Stationery,,,,Delayed,0,0,0,Procurement Officer,93,Critical
PP-00369,FY2025/2026,DIR-13,CC-019,RG-06,Professional Services - Regional Office - Nyanza Region,Consultancy,Framework Agreement,2026-02-20,2164000,2375000,2367000,Training,TND-931133,2026-04-19,2027-01-11,Awarded,66,1554000,813000,Procurement Officer,0,Low
PP-00370,FY2025/2026,DIR-11,CC-031,RG-01,Training - Technical Service Unit 03,Construction,Direct Procurement,2025-12-04,7241000,7457000,7784000,Security Services,TND-798800,2026-01-30,2026-09-23,Delayed,27,2073000,5711000,Procurement Officer,18,Medium
PP-00371,FY2025/2026,DIR-11,CC-030,RG-07,Security Services - Technical Service Unit 02,Professional Services,Direct Procurement,2025-08-26,1008000,1106000,931000,Security Services,TND-122585,2025-11-07,2026-07-30,Completed,89,829000,102000,Procurement Officer,21,Medium
PP-00372,FY2025/2026,DIR-05,CC-005,RG-01,Office Furniture - Procurement and Supply Chain Directorate - HQ,Cleaning Services,Restricted Tender,2025-10-18,4625000,4617000,4677000,Security Services,TND-934800,2025-12-17,2026-11-20,Evaluation,21,963000,3714000,Procurement Officer,0,Low
PP-00373,FY2025/2026,DIR-13,CC-013,RG-01,Medical Supplies - Regional Operations Directorate - HQ,Maintenance,Direct Procurement,2025-09-11,3164000,3366000,3289000,Security Services,TND-367379,2025-11-15,2026-09-14,Evaluation,45,1482000,1807000,Procurement Officer,0,Low
PP-00374,FY2025/2026,DIR-13,CC-017,RG-04,Travel and Accommodation - Regional Office - Eastern Region,Maintenance,Open Tender,2026-02-03,1375000,1365000,1260000,Construction,TND-532392,2026-03-26,2026-12-10,Advertised,57,716000,544000,Procurement Officer,0,Low
PP-00375,FY2025/2026,DIR-13,CC-020,RG-07,Travel and Accommodation - Regional Office - Rift Valley Region,Medical Supplies,Restricted Tender,2025-10-19,5998000,5718000,0,ICT Services,,,,Planned,0,0,0,Procurement Officer,0,Low
PP-00376,FY2025/2026,DIR-13,CC-017,RG-04,Medical Supplies - Regional Office - Eastern Region,Cleaning Services,Direct Procurement,2026-01-06,3171000,3137000,0,ICT Services,,,,Planned,0,0,0,Procurement Officer,0,Low
PP-00377,FY2025/2026,DIR-12,CC-025,RG-04,Cleaning Services - Infrastructure Project Unit 04,Office Furniture,Framework Agreement,2025-08-19,6858000,7051000,6419000,Maintenance,TND-785280,2025-10-12,2026-09-08,Cancelled,22,1400000,5019000,Procurement Officer,0,Low
PP-00378,FY2025/2026,DIR-01,CC-001,RG-01,Maintenance - Office of the Chief Executive Officer - HQ,Office Furniture,Low-Value Procurement,2025-11-18,2872000,2746000,3260000,Security Services,TND-705169,2025-12-30,2026-09-01,Completed,67,2194000,1066000,Procurement Officer,17,Medium
PP-00379,FY2025/2026,DIR-11,CC-032,RG-01,Maintenance - Technical Service Unit 04,ICT Services,Low-Value Procurement,2026-01-20,6359000,6347000,7281000,Utilities,TND-268240,2026-04-09,2026-11-16,Ongoing,72,5225000,2056000,Procurement Officer,78,High
PP-00380,FY2025/2026,DIR-12,CC-012,RG-01,Cleaning Services - Projects and Infrastructure Directorate - HQ,ICT Services,Direct Procurement,2026-03-30,1931000,1910000,1945000,Maintenance,TND-504256,2026-05-11,2026-09-09,Contract Signed,39,751000,1194000,Procurement Officer,0,Low
PP-00381,FY2025/2026,DIR-12,CC-024,RG-05,Cleaning Services - Infrastructure Project Unit 03,Fuel and Lubricants,Framework Agreement,2026-01-13,212000,216000,219000,Consultancy,TND-212192,2026-02-25,2026-12-10,Ongoing,79,172000,47000,Procurement Officer,60,High
PP-00382,FY2025/2026,DIR-11,CC-011,RG-01,Training - Technical Operations Directorate - HQ,Fuel and Lubricants,Restricted Tender,2026-01-10,2906000,2892000,0,Equipment,,,,Completed,0,0,0,Procurement Officer,72,High
PP-00383,FY2025/2026,DIR-05,CC-005,RG-01,ICT Services - Procurement and Supply Chain Directorate - HQ,Consultancy,Open Tender,2026-01-04,7730000,7828000,8826000,Training,TND-140589,2026-03-17,2026-07-12,Delayed,60,5258000,3568000,Procurement Officer,26,Medium
PP-00384,FY2025/2026,DIR-13,CC-020,RG-07,Utilities - Regional Office - Rift Valley Region,Printing and Stationery,Open Tender,2025-10-25,7245000,7375000,7969000,Fuel and Lubricants,TND-907888,2025-12-13,2026-05-21,Planned,72,5747000,2222000,Procurement Officer,0,Low
PP-00385,FY2025/2026,DIR-12,CC-025,RG-04,ICT Services - Infrastructure Project Unit 04,ICT Services,Low-Value Procurement,2025-08-06,6301000,6131000,5693000,Printing and Stationery,TND-752196,2025-10-13,2026-03-17,Contract Signed,52,2949000,2744000,Procurement Officer,0,Low
PP-00386,FY2025/2026,DIR-13,CC-016,RG-03,Consultancy - Regional Office - Coast Region,Printing and Stationery,Restricted Tender,2026-02-25,1460000,1566000,1345000,Fuel and Lubricants,TND-837185,2026-05-03,2026-11-09,Completed,22,301000,1044000,Procurement Officer,64,High
PP-00387,FY2025/2026,DIR-12,CC-023,RG-01,Cleaning Services - Infrastructure Project Unit 02,Fuel and Lubricants,Request for Quotations,2026-03-29,2569000,2584000,2418000,Training,TND-170202,2026-06-17,2027-01-22,Completed,50,1201000,1217000,Procurement Officer,7,Low
PP-00388,FY2025/2026,DIR-11,CC-030,RG-07,Travel and Accommodation - Technical Service Unit 02,Cleaning Services,Framework Agreement,2025-07-09,3122000,3199000,3144000,Fuel and Lubricants,TND-706066,2025-09-05,2026-03-26,Cancelled,91,2863000,281000,Procurement Officer,0,Low
PP-00389,FY2025/2026,DIR-08,CC-008,RG-01,Travel and Accommodation - Internal Audit and Risk Directorate - HQ,Training,Low-Value Procurement,2025-11-13,2729000,2732000,0,Maintenance,,,,Delayed,0,0,0,Procurement Officer,119,Critical
PP-00390,FY2025/2026,DIR-12,CC-027,RG-03,Medical Supplies - Infrastructure Project Unit 06,Office Furniture,Request for Quotations,2025-11-27,653000,713000,699000,Maintenance,TND-964506,2026-02-01,2026-12-07,Advertised,95,662000,37000,Procurement Officer,0,Low
